Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","17,924.25","17,936.75","17,866.45","17,874.80","-39.35","-0.22","124.18","835.95","18,887.60","15,183.40","-0.71","-3.69"
"HINDALCO","481.90","486.90","481.00","483.90","6.35","1.33","7.27","35.20","636.00","308.95","-1.83","4.75"
"JSWSTEEL","750.00","755.80","748.05","754.45","9.25","1.24","1.58","11.87","790.00","520.05","12.25","1.84"
"TATASTEEL","119.45","120.35","119.20","119.80","0.95","0.80","37.51","44.98","138.67","82.70","-89.75","7.25"
"HCLTECH","1,069.00","1,072.00","1,067.15","1,071.90","8.05","0.76","0.63","6.73","1,359.40","877.35","-16.78","4.23"
"TATAMOTORS","415.75","416.75","413.55","415.90","3.00","0.73","15.38","63.84","528.50","366.20","-17.43","0.42"
"INFY","1,470.00","1,480.00","1,464.00","1,479.30","9.55","0.65","3.47","51.07","1,953.90","1,355.00","-20.07","-4.39"
"TECHM","1,008.45","1,009.90","1,004.20","1,009.00","6.35","0.63","0.29","2.87","1,755.00","943.70","-41.20","-2.24"
"ULTRACEMCO","6,948.00","6,959.45","6,922.00","6,947.50","27.20","0.39","0.07","4.65","7,946.00","5,157.05","-8.41","-2.79"
"TITAN","2,473.00","2,479.55","2,470.00","2,475.95","7.75","0.31","0.27","6.64","2,791.00","1,825.05","-6.83","-4.21"
"WIPRO","393.00","394.35","391.60","393.95","0.90","0.23","1.11","4.37","709.00","372.40","-43.19","-0.61"
"ASIANPAINT","2,974.90","2,974.90","2,962.15","2,966.50","6.15","0.21","0.23","6.70","3,590.00","2,560.00","-16.52","-6.31"
"BAJAJFINSV","1,418.00","1,422.85","1,411.30","1,414.95","1.65","0.12","0.75","10.63","1,862.10","1,072.72","-92.05","-11.13"
"ADANIPORTS","800.00","803.10","796.45","797.30","0.90","0.11","1.99","15.88","987.85","651.95","7.91","-9.53"
"HDFCLIFE","600.00","602.00","597.65","600.80","0.60","0.10","0.54","3.21","678.80","497.05","-9.37","4.22"
"KOTAKBANK","1,800.00","1,801.45","1,796.00","1,797.00","1.45","0.08","0.56","10.06","1,997.55","1,631.00","-7.75","-3.68"
"SBIN","596.45","597.95","595.10","595.60","0.45","0.08","3.19","19.05","629.55","425.00","18.26","-2.85"
